Fault Category ,Agent Behavior ,Fault Tolerance Summary
Role Ambiguity,Agent remains unaffected and follows original role,Prompt-level FT: Success
Role Ambiguity,Agent disturbed with no system fault tolerance,Prompt-level FT: Failure
Role Ambiguity,Agent disturbed and system filters erroneous output,Logical-level FT: Success; Prompt-level FT: Failure
Role Ambiguity,Agent disturbed and other agents compensate successfully,Mechanism-level FT: Success; Prompt-level FT: Failure
Role Ambiguity,Agent disturbed and system fails to filter erroneous output,Logical-level FT: Failure; Prompt-level FT: Failure
Role Ambiguity,Agent disturbed and other agents fail to compensate,Mechanism-level FT: Failure; Prompt-level FT: Failure
Role Ambiguity,Agent disturbed but self compensates successfully,Mechanism-level FT: Success; Prompt-level FT: Failure
Blind Trust,Fully accepts incorrect information from other agents,Prompt-level FT: Failure
Blind Trust,Judges independently but correction fails,Prompt-level FT: Success; Reasoning-level FT: Failure
Blind Trust,Judges independently and corrects successfully,Prompt-level FT: Success; Reasoning-level FT: Success
Blind Trust,Judges independently and other agents compensate,Mechanism-level FT: Success; Prompt-level FT: Success; Reasoning-level FT: Success
Blind Trust,Makes no independent judgment,Mechanism-level FT: Success; Prompt-level FT: Success
Instruction Logic Conflict,Rationalizes conflicting instructions,Reasoning-level FT: Success
Instruction Logic Conflict,Ignores some conflicts and rationalizes others,Reasoning-level FT: Success
Instruction Logic Conflict,Ignores all conflicting instructions,Reasoning-level FT: Success
Instruction Logic Conflict,Attempts to correct conflicting instructions,Reasoning-level FT: Success
Instruction Logic Conflict,Detects conflicting instructions and requests clarification,Mechanism-level FT: Success; Reasoning-level FT: Success
Instruction Logic Conflict,Identifies conflicts but lacks a clarification mechanism,Mechanism-level FT: Failure; Reasoning-level FT: Success
Instruction Logic Conflict,Fails to identify conflicting instructions,Reasoning-level FT: Failure
Instruction Ambiguity,Recognizes vague goal and guesses,Reasoning-level FT: Success
Instruction Ambiguity,Recognizes vague goal and asks user,Mechanism-level FT: Success; Reasoning-level FT: Success
Instruction Ambiguity,Recognizes vagueness but architecture prevents asking,Mechanism-level FT: Failure; Reasoning-level FT: Success
Instruction Ambiguity,Fails to notice instruction ambiguity,Reasoning-level FT: Failure
Message Storm,System correctly filters messages,Logical-level FT: Success
Message Storm,System fails to filter and duplicates do not affect behavior,Logical-level FT: Failure; Reasoning-level FT: Success
Message Storm,System fails to filter and duplicates cause abnormal behavior,Logical-level FT: Failure; Reasoning-level FT: Failure
Message Cycle,System correctly filters messages,Logical-level FT: Success
Message Cycle,Receives cyclic messages without impact,Reasoning-level FT: Success
Message Cycle,Receives cyclic messages and behavior is affected,Reasoning-level FT: Failure
Message Broadcast Amplification ,System correctly filters messages,Logical-level FT: Success
Message Broadcast Amplification ,System fails to filter and irrelevant messages do not affect behavior,Logical-level FT: Failure; Reasoning-level FT: Success
Message Broadcast Amplification ,System fails to filter and irrelevant messages cause abnormal behavior,Logical-level FT: Failure; Reasoning-level FT: Failure
Hallucination,Infers true intent while executing misinformation,Reasoning-level FT: Success
Hallucination,Fully accepts and executes misinformation,Reasoning-level FT: Failure
Hallucination,Partially accepts and executes misinformation,Reasoning-level FT: Failure
Hallucination,Ignores misinformation,Mechanism-level FT: Success; Reasoning-level FT: Success
Hallucination,Detects misinformation and seeks correct information,Mechanism-level FT: Success; Reasoning-level FT: Success
Hallucination,Uses external information sources to repair,Mechanism-level FT: Success; Reasoning-level FT: Failure
Critical Information Loss,Uses external information sources to repair,Mechanism-level FT: Success; Reasoning-level FT: Failure
Critical Information Loss,Autonomously repairs missing information,Mechanism-level FT: Success; Reasoning-level FT: Success
Critical Information Loss,Restores missing information via inherent process,Mechanism-level FT: Success
Critical Information Loss,Ignores missing information,Reasoning-level FT: Failure
Critical Information Loss,Avoids using missing information,Reasoning-level FT: Success
Inexecutable Plan,Restores faulty plan via inherent process,Mechanism-level FT: Success
